,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0046649,6,0,1,0,0,1,4,1,4
GO:0045936,3,0,1,0,0,1,3,0,0
GO:0045859,2,1,1,0,0,3,1,0,0
GO:0045321,6,1,1,0,0,1,3,1,3
GO:0044092,4,1,1,0,0,1,2,1,0
GO:0043549,2,1,1,0,0,3,1,0,0
GO:0043409,1,0,1,0,0,1,1,0,0
GO:0043408,4,2,1,0,0,2,3,1,1
GO:0043407,1,0,1,0,0,1,0,0,0
GO:0043405,2,1,1,0,0,1,1,0,0
GO:0043086,3,0,1,0,0,1,0,0,0
GO:0042326,3,0,1,0,0,1,3,0,0
GO:0042325,6,1,1,0,0,3,5,1,0
GO:0042113,1,0,1,0,0,1,1,0,0
GO:0035556,11,0,2,0,0,6,8,0,3
GO:0033673,1,0,1,0,0,1,0,0,0
GO:0031400,5,0,1,0,0,1,4,0,1
GO:0031399,9,1,1,0,0,3,6,1,1
GO:0030155,4,2,2,0,0,2,6,1,0
GO:0023057,6,0,2,0,0,4,1,1,0
GO:0023052,32,2,4,0,0,11,16,3,5
GO:0022408,2,0,1,0,0,2,1,0,0
GO:0022407,3,1,1,0,0,2,3,1,0
GO:0019220,7,1,1,0,0,3,5,1,0
GO:0010648,6,0,2,0,0,4,1,1,0
GO:0010563,3,0,1,0,0,1,3,0,0
GO:0009968,6,0,2,0,0,4,1,1,0
GO:0009966,13,4,5,2,0,8,6,2,5
GO:0007165,24,2,4,0,0,9,15,3,5
GO:0007162,2,0,1,0,0,2,2,0,0
GO:0007154,31,2,5,0,0,11,15,3,4
GO:0006955,3,1,2,0,0,1,3,0,0
GO:0006469,1,0,1,0,0,1,0,0,0
GO:0002695,2,0,1,0,0,2,1,0,0
GO:0002694,5,1,1,0,0,1,4,1,0
GO:0002683,4,0,2,0,0,2,2,0,0
GO:0002682,10,2,2,0,0,2,4,3,1
GO:0002376,15,2,3,1,0,1,4,3,3
GO:0001933,3,0,1,0,0,1,3,0,0
GO:0001932,7,1,1,0,0,3,5,1,0
GO:0001775,6,1,1,0,0,1,3,1,3
GO:0005829,35,2,7,1,1,23,16,7,7
GO:0005794,14,3,4,1,0,5,9,1,5
GO:0036464,0,0,0,0,0,0,1,0,0
GO:0035770,0,0,0,0,0,0,1,0,0
GO:0030054,14,4,2,0,0,3,7,2,1
GO:0140694,0,0,0,0,0,1,0,0,0
GO:0060429,9,0,0,0,0,3,5,1,0
GO:0009888,17,0,0,0,0,5,11,2,2
GO:1903251,0,0,0,0,0,0,1,0,0
GO:0050877,3,1,0,0,0,0,3,1,0
GO:0030855,6,0,0,0,0,2,4,0,0
GO:0003012,0,0,0,0,0,1,0,0,0
GO:0003008,4,2,0,1,0,1,4,1,1
GO:0048471,3,0,0,0,0,2,2,0,1
GO:0042383,1,0,0,0,0,1,0,0,0
GO:0051641,19,3,4,0,0,9,9,1,5
GO:0050793,15,3,3,1,0,9,9,2,10
GO:0070727,6,1,1,0,0,4,6,0,1
GO:0033036,8,2,2,0,0,6,7,0,2
GO:0008104,6,1,1,0,0,4,6,0,1
GO:0065003,8,3,1,0,0,3,7,0,1
GO:0043933,8,3,1,0,0,4,8,0,1
GO:0051240,7,7,2,0,0,1,5,2,2
GO:0048584,9,5,1,0,0,3,6,2,6
GO:0051094,4,2,0,0,0,1,5,2,4
GO:0030097,3,0,0,0,0,1,1,1,2
GO:0023056,10,3,1,0,0,3,4,2,5
GO:0010647,10,3,1,0,0,3,4,2,5
GO:2000026,6,2,2,0,0,5,3,1,3
GO:0045595,8,2,3,1,0,5,4,1,3
GO:0009967,8,3,1,0,0,3,4,2,5
GO:0002521,3,0,0,0,0,0,1,1,2
GO:0050778,2,0,0,0,0,0,1,1,0
GO:0050776,4,0,1,0,0,0,1,2,0
GO:0002684,6,2,0,0,0,0,3,2,1
GO:0060284,4,2,2,0,0,5,2,1,2
GO:0045597,3,1,1,0,0,1,4,1,2
GO:0010720,1,1,1,0,0,0,2,0,2
GO:0045785,1,1,0,0,0,0,3,1,0
GO:1903708,0,1,1,0,0,0,1,0,0
GO:1903706,0,1,1,0,0,1,1,1,0
GO:1903131,3,0,0,0,0,0,1,1,2
GO:1903039,1,1,0,0,0,0,2,1,0
GO:1902107,0,1,1,0,0,0,1,0,0
GO:1902105,0,1,1,0,0,0,1,0,0
GO:0051251,2,1,1,0,0,0,3,1,0
GO:0050870,1,1,0,0,0,0,2,1,0
GO:0050867,2,1,1,0,0,0,3,1,0
GO:0050854,1,0,1,0,0,0,0,0,0
GO:0042110,3,0,0,0,0,0,2,0,4
GO:0030217,2,0,0,0,0,0,1,0,0
GO:0030098,3,0,0,0,0,0,1,1,0
GO:0022409,1,1,0,0,0,0,2,1,0
GO:0002696,2,1,1,0,0,0,3,1,0
GO:0016740,5,1,1,0,0,4,3,0,4
GO:0016772,3,2,1,0,0,4,1,0,2
GO:0016773,1,1,0,0,0,4,1,0,1
GO:0016301,3,2,0,0,0,4,1,0,2
GO:1901564,28,3,4,0,0,8,15,1,4
GO:0044281,15,0,0,0,0,5,6,1,3
GO:0043436,5,0,0,0,0,2,2,1,0
GO:0019752,5,0,0,0,0,2,2,1,0
GO:0006082,5,0,0,0,0,2,2,1,0
GO:0006520,0,0,0,0,0,0,1,0,1
GO:1901605,1,0,0,0,0,0,1,0,0
GO:0009056,8,0,0,0,1,6,6,0,3
GO:0044248,7,0,0,0,1,6,6,0,2
GO:1901575,9,1,0,0,1,8,6,0,3
GO:1901565,6,1,0,0,1,3,3,0,3
GO:0044282,4,0,0,0,0,3,2,0,1
GO:0046395,4,0,0,0,0,2,2,0,1
GO:0016054,4,0,0,0,0,2,2,0,1
GO:0009063,0,0,0,0,0,0,0,0,1
GO:0005759,2,0,0,0,0,1,1,0,1
GO:0043167,11,3,3,1,1,2,6,4,0
GO:0043169,6,1,1,1,1,3,5,2,0
GO:0046872,6,1,1,1,1,2,5,2,0
GO:0046914,2,1,0,0,0,2,4,1,0
GO:0042802,19,2,4,0,0,6,14,1,4
GO:0005506,0,0,0,0,0,1,0,1,0
GO:0046983,5,1,2,0,0,3,7,1,1
GO:0042803,5,1,1,0,0,3,7,0,1
GO:0140640,1,0,1,0,0,2,3,0,0
GO:0140098,0,0,1,0,0,2,2,0,0
GO:0140101,0,0,0,0,0,2,1,1,0
GO:1901135,6,2,0,0,0,2,5,0,1
GO:1901566,7,1,0,0,0,2,3,1,3
GO:0034660,1,0,0,0,0,2,3,1,2
GO:1901137,2,1,0,1,0,0,2,1,1
GO:0006396,3,1,1,0,0,5,5,1,3
GO:0034470,1,0,0,0,0,2,3,1,1
GO:0008033,0,0,0,0,0,1,3,0,0
GO:0006399,0,0,0,0,0,1,3,0,0
GO:0006400,0,0,0,0,0,0,3,0,0
GO:1901659,0,0,0,0,0,0,0,0,1
GO:1901657,1,0,0,0,0,0,1,0,1
GO:0016853,1,0,0,0,0,0,0,0,0
GO:0036094,7,2,2,0,0,2,2,1,0
GO:0048029,0,0,0,0,0,1,0,0,0
GO:0030246,0,0,0,0,0,0,1,0,0
GO:0005975,1,0,0,0,0,2,1,0,0
GO:0005996,0,0,0,0,0,1,0,0,0
GO:0000003,10,1,0,1,0,4,8,1,3
GO:0022414,10,1,0,1,0,4,8,1,3
GO:0070085,1,0,0,0,0,0,0,0,0
GO:0032504,8,1,0,0,0,2,5,1,1
GO:0007610,2,2,0,0,0,1,2,0,1
GO:0019318,0,0,0,0,0,1,0,0,0
GO:0051093,4,0,2,1,0,5,3,1,0
GO:0045596,3,0,1,1,0,4,1,0,0
GO:0006950,21,4,2,0,0,9,16,1,2
GO:0033554,16,2,1,0,0,3,12,0,1
GO:0006974,8,0,0,0,0,2,8,0,0
GO:0044260,17,3,2,0,0,7,13,0,2
GO:0006259,7,1,1,0,0,3,5,0,0
GO:0006281,4,0,0,0,0,2,3,0,0
GO:0006302,2,0,0,0,0,1,2,0,0
GO:0006261,0,0,0,0,0,1,0,0,0
GO:0006260,0,0,0,0,0,1,0,0,0
GO:0140535,6,2,1,0,0,4,4,0,0
GO:1905348,0,0,0,0,0,1,0,0,0
GO:0071705,7,2,3,0,0,4,4,0,3
GO:0006796,10,0,0,0,0,6,2,1,1
GO:0006793,10,0,0,0,0,6,2,1,1
GO:0019637,8,0,0,0,0,0,1,0,1
GO:0090407,4,0,0,0,0,0,1,1,1
GO:0044255,12,0,0,0,0,3,1,0,3
GO:0006629,17,0,0,0,0,0,1,1,5
GO:0008610,4,0,0,0,0,0,1,0,2
GO:0046486,1,0,0,0,0,0,0,0,1
GO:0006650,1,0,0,0,0,1,0,0,1
GO:0006644,3,0,0,0,0,0,0,0,1
GO:0046488,0,0,0,0,0,0,1,0,0
GO:0046474,2,0,0,0,0,0,0,0,1
GO:0045017,1,0,0,0,0,0,0,0,1
GO:0008654,2,0,0,0,0,0,0,0,1
GO:0007018,2,2,0,1,0,1,3,1,2
GO:0003341,1,0,0,1,0,0,2,1,0
GO:0099568,1,0,0,0,0,0,1,0,1
GO:0097014,1,0,0,0,0,0,1,0,1
GO:0032838,1,0,0,0,0,0,1,0,1
GO:0005930,0,0,0,0,0,0,0,0,1
GO:0060089,3,0,0,0,0,1,3,1,1
GO:0038023,3,0,0,0,0,1,3,1,1
GO:0022803,3,1,0,0,0,0,4,0,0
GO:0015267,3,1,0,0,0,0,4,0,0
GO:0005216,3,1,0,0,0,0,4,0,0
GO:0022836,3,1,0,0,0,0,4,0,0
GO:0022839,3,1,0,0,0,0,4,0,0
GO:0022834,1,0,0,0,0,0,2,0,0
GO:0015276,1,0,0,0,0,0,2,0,0
GO:0005230,0,0,0,0,0,0,1,0,0
GO:0004888,1,0,0,0,0,1,2,1,0
GO:0005261,2,1,0,0,0,0,3,0,0
GO:0099094,2,1,0,0,0,0,3,0,0
GO:0043235,2,1,0,0,0,0,1,2,0
GO:0098796,5,1,1,0,0,1,1,0,1
GO:1990351,2,0,0,0,0,0,1,0,0
GO:1902495,2,0,0,0,0,0,1,0,0
GO:0098797,2,0,1,0,0,0,0,0,0
GO:0034702,1,0,0,0,0,0,1,0,0
GO:0007155,1,0,0,1,0,0,0,0,1
GO:0051726,9,1,0,0,0,3,6,0,1
GO:0007346,6,1,0,0,0,1,5,0,1
GO:0009986,8,2,1,0,0,3,6,0,0
GO:0070717,1,0,0,0,0,0,1,0,0
GO:0008143,1,0,0,0,0,0,1,0,0
GO:0003727,1,0,0,0,0,1,1,0,0
GO:0016071,4,1,2,0,0,6,4,0,2
GO:0010629,5,3,1,0,0,3,4,2,1
GO:1901361,2,0,0,0,0,2,2,0,2
GO:0046700,2,0,0,0,0,2,2,0,2
GO:0044270,1,0,0,0,0,2,1,0,2
GO:0044265,1,0,0,0,1,3,1,0,0
GO:0034655,1,0,0,0,0,2,1,0,1
GO:0019439,1,0,0,0,0,2,1,0,2
GO:0009057,3,0,0,0,1,4,2,0,1
GO:0006402,1,0,0,0,0,1,1,0,0
GO:0006401,1,0,0,0,0,2,1,0,0
GO:0000956,1,0,0,0,0,1,1,0,0
GO:0034248,5,1,0,0,0,2,3,2,1
GO:1903313,2,0,0,0,0,1,2,1,0
GO:2000112,3,1,0,0,0,2,3,1,1
GO:0006417,3,1,0,0,0,2,3,1,1
GO:0042177,1,0,0,0,0,0,1,0,0
GO:0042176,4,0,0,0,0,0,2,0,1
GO:0031327,11,1,2,0,0,6,7,3,3
GO:0009890,11,1,2,0,0,6,7,3,3
GO:0010558,11,1,2,0,0,6,7,3,3
GO:0031331,5,1,0,0,0,1,3,1,1
GO:0009896,5,1,0,0,0,1,3,1,1
GO:0034249,2,1,0,0,0,2,2,1,0
GO:2000113,2,1,0,0,0,2,2,1,0
GO:2000059,1,0,0,0,0,0,1,0,0
GO:2000058,4,0,0,0,0,0,2,0,1
GO:1903321,2,0,0,0,0,0,1,0,1
GO:1903320,2,0,0,0,0,0,1,0,1
GO:1903051,1,0,0,0,0,0,1,0,0
GO:1903050,4,0,0,0,0,0,2,0,1
GO:1901799,1,0,0,0,0,0,1,0,0
GO:0160021,1,0,0,0,0,0,1,0,0
GO:0062026,1,0,0,0,0,0,1,0,0
GO:0062025,1,0,0,0,0,0,1,0,0
GO:0061157,1,0,0,0,0,1,1,1,0
GO:0061136,4,0,0,0,0,0,2,0,1
GO:0061014,1,0,0,0,0,1,1,1,0
GO:0050779,1,0,0,0,0,1,1,1,0
GO:0045861,1,0,0,0,0,0,1,0,0
GO:0032435,1,0,0,0,0,0,1,0,0
GO:0032434,4,0,0,0,0,0,2,0,1
GO:0031397,2,0,0,0,0,0,1,0,1
GO:0031396,2,0,0,0,0,0,1,0,1
GO:0030162,7,0,0,0,0,0,4,0,4
GO:0017148,2,1,0,0,0,2,2,1,0
GO:0000288,1,0,0,0,0,0,1,0,0
GO:0140096,4,1,1,0,0,5,6,3,3
